Gene	Gene Length (bp)	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
DPY19L2	110027		26	22	147	15.0%	No
DSEL	10137		26	19	147	12.9%	No
DTNA	398554		26	20	147	13.6%	No
EBF3	137821		26	19	147	12.9%	No
EGF	100884		26	20	147	13.6%	No
EGFR	192809		26	21	176	11.9%	Yes
EPB41L1	141296		26	22	147	15.0%	No
EPHB6	16165		26	23	176	13.1%	No
EPS8L3	13985		26	20	147	13.6%	No
ERCC6	85371		26	21	176	11.9%	Yes
ETV1	100197		26	18	176	10.2%	Yes
EYA4	291615		26	21	147	14.3%	No
EZH1	44791		26	24	147	16.3%	Yes
FBXO46	20296		26	20	147	13.6%	No
FGD2	23655		26	20	147	13.6%	No
FKBP10	10542		26	24	147	16.3%	No
GPC6	1181214		26	19	147	12.9%	No
GPRIN1	14376		26	22	147	15.0%	No
GTF2IRD1	150157		26	21	147	14.3%	No
HCN4	49100		26	19	147	12.9%	No
HIF3A	46392		26	23	147	15.6%	No
IFT80	143372		26	24	147	16.3%	No
IGSF3	93422		26	21	147	14.3%	No
IL1RAPL2	1201631		26	18	147	12.2%	No
ITGAM	72926		26	21	147	14.3%	No
JAK1	234532		26	23	176	13.1%	Yes
L3MBTL1	61513		26	20	147	13.6%	No
L3MBTL3	127751		26	23	147	15.6%	No
LINGO2	1275985		26	21	147	14.3%	No
LOXL2	128432		26	22	147	15.0%	No
LRRC43	35734		26	23	147	15.6%	No
MACROD2	2057829		26	25	147	17.0%	No
MCM3AP	51165		26	21	147	14.3%	No
MISP	15960		26	19	147	12.9%	No
NETO1	125833		26	20	147	13.6%	No
NHS	360795		26	16	147	10.9%	No
NLGN4X	388231		26	20	147	13.6%	No
NTRK1	66215		26	20	176	11.4%	Yes
NUGGC	61973		26	16	147	10.9%	No
OR11L1	969		26	20	147	13.6%	No
OR13C2	957		26	18	147	12.2%	No
OR2G3	930		26	17	147	11.6%	No
OR2M7	939		26	18	147	12.2%	No
OR4A16	987		26	24	147	16.3%	No
OR4D5	957		26	23	147	15.6%	No
OR5V1	78219		26	23	147	15.6%	No
OR8H1	3793		26	25	147	17.0%	No
OTOA	97968		26	21	147	14.3%	No
PBRM1	141232		26	23	176	13.1%	Yes
PCDHB14	4417		26	19	147	12.9%	No
PCSK2	258472		26	24	147	16.3%	No
PDE6C	53474		26	19	147	12.9%	No
PER3	60891		26	22	147	15.0%	No
PGBD1	22199		26	25	147	17.0%	No
PIK3C2G	405457		26	19	147	12.9%	Yes
PLB1	186998		26	19	147	12.9%	No
PLEKHG3	46148		26	22	147	15.0%	No
PLEKHH1	56323		26	22	147	15.0%	No
PLXNA3	19500		26	19	147	12.9%	No
PMFBP1	64722		26	22	147	15.0%	No
POLE	63624		26	22	147	15.0%	Yes
PRG4	18298		26	20	147	13.6%	No
PRP4K	43718		26	22	147	15.0%	No
PRRT4	11366		26	17	147	11.6%	No
RABL6	33261		26	20	147	13.6%	No
RBM12B	12944		26	22	147	15.0%	No
RBMXL2	2151		26	22	147	15.0%	No
RNF180	207579		26	24	147	16.3%	No
SBF1	40705		26	18	147	12.2%	No
SIN3A	86464		26	21	147	14.3%	No
SLAMF6	38244		26	23	147	15.6%	No
SLC17A6	41123		26	20	147	13.6%	No
SLC17A8	65214		26	20	147	13.6%	No
SLC22A10	43853		26	21	147	14.3%	No
SLC22A24	66816		26	20	147	13.6%	No
SLC4A7	111729		26	21	147	14.3%	No
SPAG16	1126113		26	21	147	14.3%	No
SPG11	108871		26	23	147	15.6%	No
SPOCD1	25601		26	21	147	14.3%	No
SREBF2	74210		26	21	147	14.3%	No
STAC	167725		26	23	147	15.6%	No
TBX22	17156		26	25	176	14.2%	No
TBX5	55193		26	22	147	15.0%	No
THADA	365216		26	20	147	13.6%	No
TIAM1	441993		26	21	176	11.9%	No
TICRR	55588		26	21	147	14.3%	No
TLR9	4566		26	22	147	15.0%	No
TMC3	43126		26	22	147	15.0%	No
TRIM51	8514		26	20	147	13.6%	No
TRPM4	54096		26	17	147	11.6%	No
TRPM8	102150		26	23	147	15.6%	No
TSC1	55527		26	22	176	12.5%	Yes
UGT2B28	14576		26	22	147	15.0%	No
ULK1	28541		26	15	147	10.2%	No
VIL1	34213		26	23	147	15.6%	No
VRTN	56943		26	23	147	15.6%	No
ZBTB16	198431		26	18	176	10.2%	Yes
ZIM3	11107		26	21	147	14.3%	No
ZMYND15	7012		26	23	147	15.6%	No
ZNF280A	6535		26	22	147	15.0%	No
ZNF425	23555		26	20	147	13.6%	No
ZNF716	23383		26	18	147	12.2%	No
ZNF727	69128		26	18	147	12.2%	No
ZNF808	36813		26	18	147	12.2%	No
ABCC3	58023		25	18	147	12.2%	Yes
ACAP1	18519		25	22	147	15.0%	No
ACLY	63630		25	21	147	14.3%	No
ACSM5	32030		25	23	147	15.6%	No
ADAMTS8	23687		25	18	147	12.2%	No
AP3D1	63487		25	21	147	14.3%	No
AR	187267		25	18	176	10.2%	Yes
ARHGEF28	316635		25	22	147	15.0%	Yes
ARMH4	298405		25	21	147	14.3%	No
ASIC5	36549		25	21	147	14.3%	No
ATP12A	32065		25	21	147	14.3%	No
AXIN2	33507		25	21	176	11.9%	Yes
AXL	42593		25	24	176	13.6%	Yes
BLM	98827		25	18	176	10.2%	Yes
BPIFB4	32109		25	21	147	14.3%	No
C5	142209		25	20	147	13.6%	No
CADM2	1115441		25	22	147	15.0%	No
CASKIN1	19426		25	19	147	12.9%	No
CC2D1A	24725		25	19	147	12.9%	No
CCDC63	60767		25	22	147	15.0%	No
CD109	132532		25	20	147	13.6%	No
CDC42BPB	125170		25	21	147	14.3%	No
CHAF1A	42402		25	20	147	13.6%	No
CKAP5	103261		25	22	147	15.0%	No
CLVS1	444488		25	21	147	14.3%	No
CLVS2	76795		25	22	147	15.0%	No
CNGA3	53610		25	24	147	16.3%	No
CNOT1	109935		25	20	147	13.6%	No
CPSF1	16633		25	19	147	12.9%	No
CRTAC1	165829		25	19	147	12.9%	No
CYP2A7	7321		25	19	147	12.9%	No
DDB1	43150		25	17	147	11.6%	No
DENND4B	17881		25	22	147	15.0%	No
DEPDC5	154167		25	21	147	14.3%	No
DHX34	33936		25	20	147	13.6%	No
DNTT	34156		25	23	147	15.6%	No
DRC1	54798		25	19	147	12.9%	No
DSG4	38136		25	19	147	12.9%	No
EBF1	404032		25	23	147	15.6%	Yes
EDC4	11468		25	19	147	12.9%	No
ERC2	960810		25	19	147	12.9%	No
FANCA	90295		25	24	176	13.6%	Yes
FBXL7	439616		25	19	147	12.9%	No
FNDC3B	365872		25	19	147	12.9%	No
FTMT	952		25	23	147	15.6%	No
GABRA4	74682		25	21	147	14.3%	No
GP6	24560		25	18	147	12.2%	No
GRIK1	403101		25	23	147	15.6%	No
HNF1A	23970		25	21	176	11.9%	Yes
IFT140	101649		25	22	147	15.0%	No
IGDCC3	50952		25	21	147	14.3%	No
IGHMBP2	36740		25	21	147	14.3%	No
IL21R	49877		25	23	176	13.1%	Yes
ILDR2	79830		25	19	147	12.9%	No
ITGA11	135660		25	17	147	11.6%	No
ITIH4	18152		25	21	147	14.3%	No
ITIH6	49338		25	17	147	11.6%	No
JAKMIP1	174393		25	20	147	13.6%	No
KCNH6	25678		25	19	147	12.9%	No
KCNK10	146805		25	19	147	12.9%	No
KCTD16	314814		25	18	147	12.2%	No
KIF14	69275		25	21	147	14.3%	No
KNSTRN	11568		25	22	147	15.0%	Yes
LRP12	100028		25	23	147	15.6%	No
LRRC37A3	65351		25	22	147	15.0%	No
LRRC8C	137197		25	22	147	15.0%	No
LTBP3	20372		25	22	147	15.0%	No
MAGI1	685394		25	22	176	12.5%	No
MAP3K10	24153		25	16	147	10.9%	No
MAP4	238618		25	20	147	13.6%	No
MAPK8IP3	64186		25	22	147	15.0%	No
MEPE	25417		25	21	147	14.3%	No
MFSD6L	2256		25	21	147	14.3%	No
MMP8	15255		25	20	176	11.4%	No
MPDZ	175171		25	18	147	12.2%	No
MRC2	65928		25	20	147	13.6%	No
MROH8	78363		25	22	147	15.0%	No
MS4A1	15001		25	19	147	12.9%	Yes
MYO1H	107624		25	22	147	15.0%	No
NCAPD2	38615		25	17	147	11.6%	No
NDNF	40760		25	19	147	12.9%	No
NPAT	67359		25	19	147	12.9%	No
NRP2	116144		25	19	176	10.8%	No
NRSN1	28747		25	20	147	13.6%	No
OPCML	1117525		25	24	147	16.3%	No
OR11H6	993		25	20	147	13.6%	No
OR14C36	939		25	22	147	15.0%	No
OR2M3	15661		25	19	147	12.9%	No
OR52E2	978		25	23	147	15.6%	No
OR5D16	987		25	18	147	12.2%	No
OR5M9	933		25	23	147	15.6%	No
PABPC3	3119		25	19	147	12.9%	No
PARP4	91995		25	22	147	15.0%	No
PCDH19	118653		25	20	147	13.6%	No
PCDHGA10	99989		25	19	147	12.9%	No
PDE1A	383392		25	20	147	13.6%	No
PGK2	1626		25	19	147	12.9%	No
PI4KB	36603		25	24	147	16.3%	No
POLN	170204		25	21	147	14.3%	No
PROSER1	28232		25	20	147	13.6%	No
PRR23A	2307		25	22	147	15.0%	No
R3HDM2	177282		25	21	147	14.3%	No
REXO1	33246		25	21	147	14.3%	No
RUBCN	80861		25	19	147	12.9%	No
SCARF1	11903		25	17	147	11.6%	No
SCNN1A	37075		25	23	147	15.6%	No
SEC14L5	60863		25	21	147	14.3%	No
SEC24A	79322		25	19	147	12.9%	No
SEC31B	33226		25	21	147	14.3%	No
SEMA6A	132607		25	20	147	13.6%	No
SEMA6D	590128		25	18	147	12.2%	No
SGO2	74089		25	21	147	14.3%	No
SHROOM2	163015		25	21	147	14.3%	No
SLC26A7	188662		25	21	147	14.3%	No
SLC6A18	20809		25	21	147	14.3%	No
SLC8A2	43902		25	22	147	15.0%	No
SMARCC1	196838		25	22	147	15.0%	No
SMCHD1	149350		25	22	147	15.0%	No
SNED1	96958		25	20	147	13.6%	No
SOX13	54633		25	20	147	13.6%	No
SPATA31G1	4892		25	19	147	12.9%	No
SPECC1	310162		25	18	176	10.2%	No
STARD13	247494		25	20	147	13.6%	No
STRA6	32802		25	23	147	15.6%	No
SYCP2L	92490		25	23	147	15.6%	No
SYMPK	51453		25	19	147	12.9%	No
SYT14	270467		25	19	147	12.9%	No
TECPR2	139537		25	23	147	15.6%	No
TEK	123063		25	18	147	12.2%	Yes
TLL1	231221		25	21	147	14.3%	No
TMC1	316690		25	18	147	12.2%	No
TMEM131L	171306		25	19	147	12.9%	No
TRABD2A	85359		25	17	147	11.6%	No
TRIP12	159405		25	21	147	14.3%	No
TROAP	8518		25	21	147	14.3%	No
TRPC6	421093		25	21	147	14.3%	No
TRPV2	21433		25	22	147	15.0%	No
TTC34	164708		25	15	147	10.2%	No
UBASH3A	44238		25	21	147	14.3%	No
UBE2O	63753		25	20	147	13.6%	No
UGGT1	104527		25	22	147	15.0%	No
USP9X	151149		25	20	147	13.6%	No
WDR93	52829		25	18	147	12.2%	No
WNK4	16457		25	19	147	12.9%	No
ZBTB20	832857		25	21	147	14.3%	Yes
ZMIZ1	247622		25	20	147	13.6%	No
ZNF214	23685		25	20	147	13.6%	No
ZNF257	39051		25	20	147	13.6%	No
ZNF415	25199		25	20	147	13.6%	No
ZNF438	211904		25	22	147	15.0%	No
ZNF556	16111		25	19	147	12.9%	No
ZNF582	17693		25	20	147	13.6%	No
ZNF80	2948		25	21	147	14.3%	No
ZNF93	62552		25	17	147	11.6%	No
AATK	55737		24	17	147	11.6%	No
ABCG8	51047		24	21	147	14.3%	No
ACSBG1	78221		24	19	147	12.9%	No
ADAM21	43321		24	22	147	15.0%	No
ADAMTS13	45045		24	20	147	13.6%	No
ADGRA2	60706		24	20	147	13.6%	Yes
ADGRE2	46169		24	21	147	14.3%	No
ADGRE3	90948		24	20	147	13.6%	No
ADGRG3	21102		24	20	147	13.6%	No
AKAP3	35690		24	23	147	15.6%	No
ALDH1L2	87860		24	18	147	12.2%	Yes
ALPL	69014		24	21	147	14.3%	No
ANKRD55	133651		24	18	147	12.2%	No
APBB1IP	130109		24	20	147	13.6%	No
ARHGAP21	140279		24	22	147	15.0%	No
ARHGEF1	47072		24	20	147	13.6%	No
ARID1B	434760		24	18	147	12.2%	Yes
ARID5B	195261		24	20	176	11.4%	Yes
ATP2A1	26062		24	19	147	12.9%	No
ATP2C2	97304		24	22	147	15.0%	No
ATXN2L	14239		24	18	147	12.2%	No
BAIAP3	15802		24	20	147	13.6%	No
BBX	288404		24	18	147	12.2%	No
BEND4	42026		24	17	147	11.6%	No
BICC1	318564		24	18	147	12.2%	No
BRPF3	36785		24	21	147	14.3%	No
CCDC144A	88438		24	21	147	14.3%	No
CD1C	4852		24	21	147	14.3%	No
CDK14	744167		24	21	147	14.3%	No
CHD2	141794		24	22	147	15.0%	Yes
COBLL1	190056		24	21	147	14.3%	No
COL9A2	17327		24	17	147	11.6%	No
CRACR2A	158187		24	21	147	14.3%	No
CRYBG1	211301		24	23	147	15.6%	No
CSNK2A2IP	129179		24	11	147	7.5%	No
CTCFL	29687		24	18	147	12.2%	No
CYP2A6	6918		24	16	147	10.9%	No
DCSTAMP	17603		24	20	147	13.6%	No
DENND1A	550505		24	16	147	10.9%	No
DNAI4	112006		24	20	147	13.6%	No
DRC7	37013		24	18	147	12.2%	No
DTX4	37159		24	16	147	10.9%	No
EML1	204368		24	21	147	14.3%	No
ERBB2	42513		24	21	176	11.9%	Yes
EXTL1	16581		24	20	147	13.6%	No
FAM90A1	6362		24	19	147	12.9%	No
FCAMR	12661		24	18	147	12.2%	No
GABRA6	155531		24	20	147	13.6%	Yes
GABRB1	432725		24	20	147	13.6%	No
GALNT5	60914		24	19	147	12.9%	No
GAREM1	346006		24	20	147	13.6%	No
GPATCH8	108315		24	21	147	14.3%	No
GRB10	203400		24	17	147	11.6%	No
GUCY1B1	48824		24	19	147	12.9%	No
HAS2	29325		24	20	147	13.6%	No
HDLBP	89798		24	20	147	13.6%	No
HNRNPCL1	1344		24	19	147	12.9%	No
HR	18966		24	16	147	10.9%	No
HRAS	5102		24	24	176	13.6%	Yes
HRG	18237		24	13	147	8.8%	No
IGSF5	56899		24	21	147	14.3%	No
IGSF9	22430		24	18	147	12.2%	No
INSYN2B	119193		24	17	147	11.6%	No
IPO9	55188		24	21	147	14.3%	No
ITGAE	86566		24	21	147	14.3%	No
ITSN1	257462		24	21	147	14.3%	No
JARID2	277106		24	17	147	11.6%	Yes
KCNH1	457361		24	20	147	13.6%	No
KCNH2	34331		24	22	147	15.0%	No
KCNV1	12136		24	22	147	15.0%	No
KIAA0825	467754		24	23	147	15.6%	No
KLB	44604		24	22	147	15.0%	No
KRT79	12904		24	19	147	12.9%	No
KRT84	7841		24	17	147	11.6%	No
LAMB3	38237		24	19	147	12.9%	No
LCA5	60148		24	24	147	16.3%	No
LCK	34927		24	21	176	11.9%	Yes
LILRB4	26471		24	17	147	11.6%	No
LRRC66	26750		24	22	147	15.0%	No
MAP3K5	236064		24	22	176	12.5%	No
MASP2	25233		24	17	147	11.6%	No
MEOX2	75608		24	18	147	12.2%	No
MIA3	49918		24	22	147	15.0%	No
MUC20	20240		24	15	147	10.2%	No
MUC7	52506		24	19	147	12.9%	No
MYH3	28784		24	19	147	12.9%	No
MYRIP	451408		24	18	147	12.2%	No
NEUROD4	10044		24	20	147	13.6%	No
NOBOX	13333		24	16	147	10.9%	No
NOX4	173835		24	20	147	13.6%	No
NSD2	111649		24	22	147	15.0%	Yes
NTRK2	427377		24	19	176	10.8%	Yes
NUP188	60153		24	18	147	12.2%	No
OR13C3	1108		24	22	147	15.0%	No
OR2T4	963		24	18	147	12.2%	No
OR4N2	111239		24	19	147	12.9%	No
OR4Q3	5899		24	20	147	13.6%	No
OR51B5	202209		24	22	147	15.0%	No
OR5A1	14912		24	19	147	12.9%	No
OR5AS1	10538		24	20	147	13.6%	No
OR5L2	936		24	21	147	14.3%	No
OR6C4	6231		24	18	147	12.2%	No
P3H2	165710		24	18	147	12.2%	No
PADI4	55810		24	17	147	11.6%	No
PCDH20	6165		24	19	147	12.9%	No
PCNX2	312295		24	20	147	13.6%	No
PDE3B	230952		24	21	147	14.3%	No
PIK3R6	64965		24	21	147	14.3%	No
PIWIL3	55687		24	20	147	13.6%	No
PKP4	225980		24	22	147	15.0%	No
PLA1A	32009		24	17	147	11.6%	No
PLEKHG4	11990		24	19	147	12.9%	No
PNMA2	9392		24	18	147	12.2%	No
PNPLA1	70753		24	20	147	13.6%	No
PRDM15	81258		24	19	147	12.9%	No
PROS1	106958		24	22	147	15.0%	No
PRSS35	13197		24	21	147	14.3%	No
PTGIS	64284		24	21	147	14.3%	No
PTPN21	89236		24	21	147	14.3%	No
RNF133	1383		24	17	147	11.6%	No
ROBO3	16040		24	17	147	11.6%	No
RPS6KC1	223542		24	23	147	15.6%	No
SAGE1	22881		24	20	147	13.6%	No
SELE	42066		24	20	147	13.6%	No
SEMG1	3573		24	17	147	11.6%	No
SH2D3C	40411		24	19	147	12.9%	No
SIGLEC7	11371		24	17	147	11.6%	No
SLC34A2	31122		24	21	147	14.3%	Yes
SLC45A1	26064		24	19	147	12.9%	No
SLFN14	16835		24	19	147	12.9%	No
SORT1	88400		24	18	147	12.2%	No
SPATA13	55218		24	19	147	12.9%	No
SV2B	202697		24	21	147	14.3%	No
TANC2	461469		24	20	147	13.6%	No
TBXT	11160		24	20	147	13.6%	No
TDRD9	124212		24	18	147	12.2%	No
TERT	41939		24	22	176	12.5%	Yes
TESPA1	41090		24	19	147	12.9%	No
TEX55	13892		24	20	147	13.6%	No
TJP3	42458		24	18	147	12.2%	No
TNFAIP3	19454		24	20	176	11.4%	Yes
TOGARAM1	112242		24	20	147	13.6%	No
TRAT1	32236		24	18	147	12.2%	No
TRIM77	7574		24	19	147	12.9%	No
TRPV4	50320		24	19	147	12.9%	No
UBR1	163217		24	19	147	12.9%	No
USP42	56632		24	22	147	15.0%	No
VWA7	11739		24	17	147	11.6%	No
WSCD1	66621		24	19	147	12.9%	No
ZBP1	17002		24	21	147	14.3%	No
ZC3H7B	58699		24	20	147	13.6%	No
ZIK1	15435		24	21	147	14.3%	No
ZNF236	150345		24	20	147	13.6%	No
ZNF420	122546		24	19	147	12.9%	No
ZNF578	63330		24	17	147	11.6%	No
ZNF628	7871		24	18	147	12.2%	No
ZNF69	26548		24	16	147	10.9%	No
ZNF721	73342		24	20	147	13.6%	No
ABCC5	98006		23	20	147	13.6%	No
ABL2	130355		23	19	176	10.8%	Yes
ACTRT2	1437		23	20	147	13.6%	No
ADAMTS14	90075		23	19	147	12.9%	No
ADGRA3	171019		23	22	147	15.0%	No
AGBL4	1491101		23	18	147	12.2%	No
AMBN	15033		23	20	147	13.6%	No
AMPD1	22529		23	18	147	12.2%	No
ARHGEF10	135311		23	19	147	12.9%	No
ASAP2	198926		23	17	147	11.6%	No
ASTL	15747		23	19	147	12.9%	No
ASXL2	144735		23	22	147	15.0%	Yes
AXIN1	65291		23	17	176	9.7%	Yes
BAAT	31219		23	15	147	10.2%	No
BAZ1A	123620		23	19	147	12.9%	No
BCAS3	715386		23	20	147	13.6%	No
BRD10	126887		23	19	147	12.9%	No
C1ORF167	27799		23	14	147	9.5%	No
C4ORF50	303183		23	16	147	10.9%	No
CABP4	9347		23	15	147	10.2%	No
CACNA2D3	952131		23	18	147	12.2%	No
CAPN6	25385		23	16	147	10.9%	No
CBL	107629		23	21	176	11.9%	Yes
CCNA1	11351		23	18	147	12.2%	No
CD19	7378		23	21	147	14.3%	Yes
CEACAM18	12763		23	17	147	11.6%	No
CEP128	482549		23	22	147	15.0%	No
CFAP100	41901		23	23	147	15.6%	No
CHAT	58848		23	19	147	12.9%	No
CLASP1	311824		23	16	147	10.9%	No
CLCA1	33033		23	20	147	13.6%	No
CLCN7	30171		23	18	147	12.2%	No
CLEC14A	2094		23	19	147	12.9%	No
CLIP1	151347		23	20	147	13.6%	Yes
CPB1	69086		23	21	147	14.3%	No
DAB2IP	218474		23	18	147	12.2%	No
DCT	42872		23	17	147	11.6%	No
DHX8	126474		23	20	147	13.6%	No
DOCK5	233394		23	19	147	12.9%	No
DPYSL3	119282		23	20	147	13.6%	No
DRC11			23	18	147	12.2%	No
EIF3A	47166		23	21	147	14.3%	No
ELFN2	87881		23	19	147	12.9%	No
EML3	10757		23	18	147	12.2%	No
ENPP1	87163		23	19	147	12.9%	No
FAM135A	148668		23	20	147	13.6%	No
FANCD2	75568		23	23	176	13.1%	Yes
FBRS	12380		23	17	147	11.6%	No
FCSK	25877		23	16	147	10.9%	No
FGFR4	11696		23	19	176	10.8%	Yes
FHIP1B	23377		23	20	147	13.6%	No
GABRA1	52919		23	18	147	12.2%	No
GABRA2	231683		23	20	147	13.6%	No
GABRB2	260616		23	18	147	12.2%	No
GAS2L3	54608		23	20	147	13.6%	No
GCKR	27157		23	20	147	13.6%	No
GGT7	28155		23	19	147	12.9%	No
GJA8	6475		23	19	147	12.9%	No
GMIP	14185		23	18	147	12.2%	No
GRIN2C	19746		23	19	147	12.9%	No
HCK	49660		23	21	147	14.3%	No
HIP1	205689		23	21	176	11.9%	Yes
HNF1B	58661		23	22	176	12.5%	Yes
HPSE2	778786		23	22	147	15.0%	No
IGF2BP3	160283		23	20	147	13.6%	No
INPP5J	11967		23	19	147	12.9%	No
INVS	207374		23	21	147	14.3%	No
ITGB2	46132		23	20	147	13.6%	No
ITIH5	107752		23	19	147	12.9%	No
JAG2	27938		23	18	147	12.2%	No
KDM2B	153184		23	17	147	11.6%	Yes
KIRREL3	580103		23	17	147	11.6%	No
KLKB1	33053		23	20	147	13.6%	No
KNTC1	99151		23	19	147	12.9%	No
KRT73	10990		23	17	147	11.6%	No
LGI1	48433		23	19	147	12.9%	No
LNX1	242105		23	20	147	13.6%	No
LPIN1	149866		23	16	147	10.9%	No
LRFN2	195774		23	19	147	12.9%	No
LRP4	61926		23	15	147	10.2%	No
LRRC63	65188		23	19	147	12.9%	No
LTK	10254		23	22	147	15.0%	Yes
LY9	32410		23	21	147	14.3%	No
MAG	24705		23	20	147	13.6%	No
MANBA	130230		23	17	147	11.6%	No
MAP7D1	25271		23	18	147	12.2%	No
MAST2	249242		23	16	147	10.9%	No
MERTK	130955		23	20	147	13.6%	Yes
MPO	11081		23	20	147	13.6%	No
MPPED2	202435		23	23	147	15.6%	No
MUC19	177438		23	16	147	10.9%	No
NDST3	225056		23	18	147	12.2%	No
NECTIN3	205493		23	20	147	13.6%	No
NHSL1	271211		23	21	147	14.3%	No
NISCH	37951		23	20	147	13.6%	No
NLRC5	94754		23	21	147	14.3%	No
NPHP4	130652		23	18	147	12.2%	No
NXPE2	28543		23	20	147	13.6%	No
OR10T2	945		23	19	147	12.9%	No
OR10Z1	7247		23	16	147	10.9%	No
OR2F2	954		23	17	147	11.6%	No
OR2L13	5980		23	19	147	12.9%	No
OR2M2	6247		23	21	147	14.3%	No
OR4C6	3995		23	20	147	13.6%	No
OR5AC2	930		23	19	147	12.9%	No
OR8H3	939		23	19	147	12.9%	No
PCDH11Y	741999		23	14	147	9.5%	No
PCDHAC1	86049		23	17	147	11.6%	No
PCDHGB1	162877		23	19	147	12.9%	No
PCDHGB3	142734		23	17	147	11.6%	No
PDE8B	340393		23	19	147	12.9%	No
PHF21B	128861		23	18	147	12.2%	No
PHLDB2	244435		23	18	147	12.2%	No
PIDD1	10575		23	16	147	10.9%	No
PIP5K1B	304002		23	17	147	11.6%	No
PLCH2	79553		23	21	147	14.3%	No
PLD1	210547		23	21	147	14.3%	No
POLR3A	76402		23	22	147	15.0%	No
PPP1R16B	118111		23	20	147	13.6%	No
PRKAA2	70022		23	20	147	13.6%	No
PRKG2	131097		23	19	147	12.9%	No
PSD3	557428		23	19	147	12.9%	No
RALGAPB	106044		23	20	147	13.6%	No
RASA2	128379		23	17	147	11.6%	No
RECK	87551		23	21	147	14.3%	No
RFC1	78940		23	18	147	12.2%	No
RHBDF2	30900		23	17	147	11.6%	No
RICTOR	136483		23	18	176	10.2%	Yes
SCAP	63446		23	18	147	12.2%	No
SCAPER	558067		23	21	147	14.3%	No
SCML4	122164		23	21	147	14.3%	No
SERPINA5	31679		23	22	147	15.0%	No
SH3PXD2A	261558		23	19	147	12.9%	No
SHCBP1L	53661		23	18	147	12.2%	No
SIGLEC5	15445		23	18	147	12.2%	No
SLC15A1	69036		23	22	147	15.0%	No
SLC22A9	41157		23	21	147	14.3%	No
SLC26A3	39412		23	20	147	13.6%	No
SLC26A5	93478		23	21	147	14.3%	No
SLC2A14	78637		23	16	147	10.9%	No
SLC5A11	65788		23	17	147	11.6%	No
SLC5A7	27472		23	22	147	15.0%	No
SLC5A8	54746		23	19	147	12.9%	No
SLC6A13	42253		23	17	147	11.6%	No
SLCO1B7	127339		23	18	147	12.2%	No
SNCAIP	152871		23	18	147	12.2%	Yes
SOS1	162140		23	23	147	15.6%	Yes
SPATA21	50308		23	18	147	12.2%	No
STON1-GTF2A1L	246593		23	19	147	12.9%	No
SUN1	79845		23	20	147	13.6%	No
SUPT5H	40515		23	17	147	11.6%	No
SYNPO2L	18923		23	19	147	12.9%	No
SYT4	9644		23	19	147	12.9%	No
TCF4	442603		23	20	176	11.4%	No
TDO2	65677		23	20	147	13.6%	No
TGM3	45079		23	19	147	12.9%	No
TGM7	25985		23	20	147	13.6%	No
THRAP3	80985		23	21	147	14.3%	No
TIMD4	43935		23	18	147	12.2%	No
TIMELESS	33083		23	21	147	14.3%	No
TJP2	153352		23	17	147	11.6%	No
TMPRSS9	66024		23	20	147	13.6%	No
TNFRSF8	80905		23	16	147	10.9%	No
TNK2	48582		23	18	147	12.2%	No
TRIM24	129787		23	19	176	10.8%	Yes
TRPC1	83855		23	19	147	12.9%	No
TSGA10	159809		23	19	147	12.9%	No
TSHZ2	522973		23	18	147	12.2%	No
TTLL7	134141		23	17	176	9.7%	No
TXNDC2	3510		23	21	147	14.3%	No
UPF1	36328		23	18	147	12.2%	Yes
URB1	82012		23	21	147	14.3%	No
USP7	83232		23	19	147	12.9%	No
VAT1L	191544		23	18	147	12.2%	No
XRN1	141481		23	20	147	13.6%	No
YEATS2	115058		23	18	147	12.2%	No
ZFPM2	1213807		23	16	147	10.9%	No
ZFYVE9	206784		23	19	147	12.9%	No
ZHX3	139284		23	22	147	15.0%	No
ZNF211	13650		23	17	147	11.6%	No
ZNF221	16506		23	17	147	11.6%	No
ZNF239	20108		23	21	147	14.3%	No
ZNF317	23045		23	20	147	13.6%	No
ZNF429	59589		23	16	147	10.9%	No
ZNF493	30459		23	17	147	11.6%	No
ZNF638	160647		23	17	147	11.6%	No
ZNF648	7143		23	18	147	12.2%	No
ZNF728	28294		23	16	147	10.9%	No
ZSCAN10	10406		23	19	147	12.9%	No
ZSWIM5	289815		23	19	147	12.9%	No
ACOT11	96936		22	17	147	11.6%	No
ACOXL	386025		22	17	147	11.6%	No
ACSM4	24648		22	19	147	12.9%	No
ACTN4	83985		22	21	147	14.3%	No
ADAM11	22859		22	18	147	12.2%	No
ADAMTSL2	43359		22	20	147	13.6%	No
AFF1	206837		22	19	176	10.8%	Yes
AGTPBP1	195606		22	17	147	11.6%	No
ANAPC1	273052		22	18	147	12.2%	No
ANKRD33	3719		22	20	147	13.6%	No
ANO7	37485		22	17	147	11.6%	No
APCS	1040		22	19	147	12.9%	No
ARHGEF6	116142		22	16	147	10.9%	No
ATF7IP	137305		22	21	147	14.3%	No
ATP4A	13628		22	18	147	12.2%	No
ATP8B2	25788		22	20	147	13.6%	No
ATP8B3	30202		22	18	147	12.2%	No
BACH2	370396		22	20	147	13.6%	Yes
BLTP3A	85432		22	17	147	11.6%	No
BMP3	26996		22	19	147	12.9%	No
BRDT	65084		22	18	147	12.2%	No
BRIP1	184423		22	18	176	10.2%	Yes
